Machine_ID,Temperature_C,Vibration_mm_s,Pressure_psi,Rotational_Speed_rpm,Failure
MCH-0000,72.48357076505616,4.364360476965945,93.21505269512778,1992.8288391770536,0
MCH-0001,85.35353723714454,8.603202429959886,96.94500536946347,1998.3672048129845,1
MCH-0002,73.23844269050346,2.3065352410549775,94.02618938954858,2003.214743929379,0
MCH-0003,77.61514928204012,4.504864712447844,101.1041804694612,2047.343073082309,0
MCH-0004,79.35898509965347,9.445059296972289,111.97178531461913,1962.6391345756629,0
MCH-0005,68.8293152152541,3.0886518213848073,92.28957842858796,1957.682650424367,0
MCH-0006,77.89606407753696,6.5727239765758885,110.00820497768414,2061.8309871071488,0
MCH-0007,73.83717364576455,5.731662231626507,92.18327927653112,1976.867762905935,0
MCH-0008,67.65262807032524,3.898650017043443,91.52372787503116,1936.8482323211467,0
MCH-0009,72.71280021792982,4.787705543993229,108.18594618343214,1975.7435028950065,0
MCH-0010,80.9242284530947,10.35113267577413,109.21936378007616,1983.4973632378,0
MCH-0011,67.67135123214871,6.1003217202587985,108.51409936762654,2077.748136386288,0
MCH-0012,82.19200041137427,7.496317065838904,86.84202591781859,2046.241310618837,0
MCH-0013,60.43359877671101,4.643475024558524,95.34049021927949,2057.3760308316123,0
MCH-0014,61.375410837434835,5.114913605677489,108.22988592003321,2040.9986821173393,0
MCH-0015,82.2876875711895,9.204399550189084,100.41541840563895,2047.3121835807658,1
MCH-0016,64.93584439832789,1.8428757414214783,89.26307153802536,1965.5958936709842,0
MCH-0017,71.57123666297637,8.063266865802095,104.58317939125442,1990.0698922323259,0
MCH-0018,65.45987962239394,5.232987498799102,92.8519274100853,1950.5042343488226,0
MCH-0019,62.93848149332354,5.597220897683806,117.94524848392211,1989.4755984731482,0
MCH-0020,77.32824384460777,4.913138375184637,115.44841462418259,2034.2052495467372,0
MCH-0021,89.49184767925874,7.0039057130738325,106.04097426355567,2006.7291642406124,0
MCH-0022,70.33764102343962,4.721113278576844,113.61006704769774,2065.574040948015,0
MCH-0023,62.87625906893272,2.6009078567085333,100.64791350123382,1942.9292103886391,0
MCH-0024,67.27808637737408,8.415629747079958,107.65437494375016,2025.011917534912,0
MCH-0025,70.55461294854933,3.148232002366406,114.77720295302075,1937.5848599065341,0
MCH-0026,64.24503211288848,3.4520505742292307,102.45498681794312,2004.7088234586822,0
MCH-0027,71.87849009172837,4.339611193420399,97.44812828485716,2037.0166711278239,0
MCH-0028,66.99680655040598,6.932113587278566,82.95378041822885,1989.274871658789,0
MCH-0029,86.22073473199393,9.169415339431431,99.16866474278505,2027.556330204348,1
MCH-0030,85.64285670232135,5.623591001028452,108.23423184562311,1952.0133832583533,0
MCH-0031,79.26139092254469,6.88150754113601,109.4563342756763,1916.8155010901808,0
MCH-0032,69.93251387631032,6.096500940178222,105.0436506571841,2027.8514811243901,0
MCH-0033,64.71144535522049,5.807652435824679,94.5870090503776,2087.2005117037866,0
MCH-0034,74.11272456051594,6.0736013617562605,80.23178431052409,1950.1977529915055,0
MCH-0035,63.89578175014489,8.591542850873676,95.04784901995265,2061.10970900534,0
MCH-0036,71.04431797502377,8.277642342554168,96.95655128946049,2002.1711704408206,0
MCH-0037,60.201649380601125,3.969926985495057,96.87071032809986,1933.2154239153463,0
MCH-0038,63.359069755507846,7.435827489216728,106.18556356977925,1943.4247349323919,0
